complaint,category
Garbage not collected in Baner,Waste
Flood near Baner,Flooding
Frequent power cuts in Aundh,Electricity
Cracked road at Baner,Road
Power outage near Wakad,Electricity
Garbage overflowing near Hadapsar,Waste
Loose electric wire in FC Road,Electricity
Waterlogging due to blocked drain in Camp,Drainage
Road damaged near Hadapsar,Road
Dustbin overflowing in Shivajinagar,Waste
No drinking water in Camp,Water
Garbage not collected in Baner,Waste
Drainage issue at FC Road,Drainage
Road blocked due to traffic in Hadapsar,Traffic
Pipeline burst in Shivajinagar,Water
Broken road in FC Road,Road
Road damaged near Wakad,Road
Flood near Shivajinagar,Flooding
Rainwater accumulation in Pimpri,Flooding
Loose electric wire in Pimpri,Electricity
Vehicle congestion in Baner,Traffic
Flood near Pimpri,Flooding
Broken road in Shivajinagar,Road
Sewage overflow in Aundh,Drainage
Waterlogging due to blocked drain in Pimpri,Drainage
Waterlogging due to blocked drain in Camp,Drainage
Garbage overflowing near Baner,Waste
Rainwater accumulation in Hadapsar,Flooding
Rainwater accumulation in Kothrud,Flooding
Power outage near Pimpri,Electricity
Waste dumped outside Aundh,Waste
Rainwater accumulation in Camp,Flooding
Flooding reported in Shivajinagar,Flooding
Drain blocked near Hadapsar,Drainage
Streetlight not working in FC Road,Electricity
Garbage overflowing near Camp,Waste
Road damaged near Shivajinagar,Road
Broken road in FC Road,Road
Loose electric wire in FC Road,Electricity
Drainage issue at Wakad,Drainage
Pipeline burst in Pimpri,Water
Waterlogging after rain in Camp,Flooding
Frequent power cuts in Kothrud,Electricity
Dirty drainage near Hinjewadi,Drainage
Drain blocked near FC Road,Drainage
Water supply issue in Camp,Water
Sewage overflow in Hinjewadi,Drainage
Electric pole damaged in Camp,Electricity
Streetlight not working in Pimpri,Electricity
Power outage near Pimpri,Electricity
Drain blocked near Aundh,Drainage
Cracked road at Wakad,Road
Water supply issue in Shivajinagar,Water
Rainwater accumulation in Pimpri,Flooding
Waterlogging after rain in Hadapsar,Flooding
Waterlogging due to blocked drain in Baner,Drainage
Garbage overflowing near Wakad,Waste
Uneven road surface near Baner,Road
Drain blocked near Hinjewadi,Drainage
Frequent power cuts in Kothrud,Electricity
Garbage overflowing near Camp,Waste
Dustbin overflowing in Wakad,Waste
Sewage overflow in Hinjewadi,Drainage
Traffic signal not working at Pimpri,Traffic
Sewage overflow in Hinjewadi,Drainage
Traffic jam near Aundh,Traffic
Water overflowing near Camp,Water
Loose electric wire in Pimpri,Electricity
Dustbin overflowing in Shivajinagar,Waste
Pipeline burst in Pimpri,Water
Rainwater accumulation in Pimpri,Flooding
Traffic signal not working at Pimpri,Traffic
Drain blocked near Kothrud,Drainage
Large pothole on Aundh,Road
Waterlogging after rain in Hadapsar,Flooding
Frequent power cuts in Hinjewadi,Electricity
Rainwater accumulation in Camp,Flooding
Traffic signal not working at Kothrud,Traffic
No drinking water in Kothrud,Water
Loose electric wire in Hinjewadi,Electricity
Water overflowing near Pimpri,Water
Heavy traffic near Aundh,Traffic
Garbage not collected in Baner,Waste
Pipeline burst in Kothrud,Water
Waste dumped outside Shivajinagar,Waste
Garbage not collected in Shivajinagar,Waste
Frequent power cuts in Wakad,Electricity
Waterlogging due to blocked drain in Aundh,Drainage
Traffic signal not working at Pimpri,Traffic
Waste dumped outside Aundh,Waste
Broken road in Kothrud,Road
Water overflowing near Hinjewadi,Water
Garbage overflowing near Wakad,Waste
Garbage overflowing near Camp,Waste
Garbage overflowing near FC Road,Waste
Water overflowing near Hinjewadi,Water
Drain blocked near FC Road,Drainage
Loose electric wire in FC Road,Electricity
Garbage not collected in Kothrud,Waste
No drinking water in Aundh,Water
Broken road in Hadapsar,Road
Garbage not collected in Kothrud,Waste
Drainage issue at FC Road,Drainage
Rainwater accumulation in FC Road,Flooding
Rainwater accumulation in Hadapsar,Flooding
Water supply issue in Wakad,Water
Garbage not collected in Shivajinagar,Waste
Road damaged near Shivajinagar,Road
Broken road in Hadapsar,Road
Garbage not collected in FC Road,Waste
Sewage overflow in Shivajinagar,Drainage
Waterlogging after rain in Hadapsar,Flooding
Garbage overflowing near Aundh,Waste
Flood near FC Road,Flooding
Streetlight not working in Shivajinagar,Electricity
Heavy traffic near Wakad,Traffic
Road blocked due to traffic in Camp,Traffic
No drinking water in Aundh,Water
Pipeline burst in Kothrud,Water
Streetlight not working in Pimpri,Electricity
Pipeline burst in Pimpri,Water
Area submerged in Wakad,Flooding
Traffic signal not working at Shivajinagar,Traffic
Uneven road surface near Shivajinagar,Road
Electric pole damaged in Aundh,Electricity
Streetlight not working in Kothrud,Electricity
Broken road in Pimpri,Road
Flooding reported in Aundh,Flooding
Water overflowing near Pimpri,Water
Dirty drainage near Wakad,Drainage
Large pothole on Hadapsar,Road
Traffic jam near Hadapsar,Traffic
Waterlogging due to blocked drain in Hinjewadi,Drainage
Area submerged in Pimpri,Flooding
Garbage overflowing near Hinjewadi,Waste
Road blocked due to traffic in Hinjewadi,Traffic
Sewage overflow in Hadapsar,Drainage
Garbage not collected in Pimpri,Waste
Area submerged in Aundh,Flooding
Water overflowing near Baner,Water
Traffic signal not working at Wakad,Traffic
Waterlogging after rain in Baner,Flooding
Waterlogging due to blocked drain in Wakad,Drainage
Water supply issue in Wakad,Water
Heavy traffic near Hinjewadi,Traffic
Flooding reported in Hadapsar,Flooding
Streetlight not working in Camp,Electricity
Heavy traffic near Baner,Traffic
Road damaged near Wakad,Road
Garbage not collected in Camp,Waste
Area submerged in Pimpri,Flooding
Road blocked due to traffic in Hadapsar,Traffic
Road damaged near Aundh,Road
Vehicle congestion in Hadapsar,Traffic
Traffic jam near Hinjewadi,Traffic
Huge garbage pile near Wakad,Waste
Dirty drainage near Kothrud,Drainage
Dustbin overflowing in Hadapsar,Waste
Waterlogging due to blocked drain in Hadapsar,Drainage
Pipeline burst in Aundh,Water
Heavy traffic near Baner,Traffic
Dustbin overflowing in Baner,Waste
Dustbin overflowing in FC Road,Waste
Frequent power cuts in Baner,Electricity
Uneven road surface near Baner,Road
Drain blocked near Aundh,Drainage
Drain blocked near Baner,Drainage
Dirty drainage near Hadapsar,Drainage
Traffic signal not working at Baner,Traffic
Garbage not collected in Camp,Waste
Electric pole damaged in Pimpri,Electricity
Garbage not collected in Pimpri,Waste
Garbage overflowing near Hadapsar,Waste
No drinking water in Kothrud,Water
Sewage overflow in Baner,Drainage
Flooding reported in Hadapsar,Flooding
Uneven road surface near Hinjewadi,Road
Drain blocked near Hinjewadi,Drainage
Traffic signal not working at Hinjewadi,Traffic
Cracked road at FC Road,Road
Electric pole damaged in Baner,Electricity
Heavy traffic near Hinjewadi,Traffic
Heavy traffic near Baner,Traffic
Dustbin overflowing in Pimpri,Waste
Electric pole damaged in Camp,Electricity
Area submerged in Kothrud,Flooding
Waste dumped outside Pimpri,Waste
Flooding reported in Aundh,Flooding
Power outage near Hinjewadi,Electricity
Water leakage near Aundh,Water
Cracked road at Kothrud,Road
Heavy traffic near Pimpri,Traffic
Streetlight not working in Shivajinagar,Electricity
Rainwater accumulation in Shivajinagar,Flooding
Garbage not collected in Hadapsar,Waste
Waste dumped outside Wakad,Waste
Traffic signal not working at Hinjewadi,Traffic
Pipeline burst in FC Road,Water
Water leakage near Pimpri,Water
Drainage issue at Aundh,Drainage
Streetlight not working in Baner,Electricity
Uneven road surface near Camp,Road
Vehicle congestion in FC Road,Traffic
Heavy traffic near FC Road,Traffic
Road blocked due to traffic in Shivajinagar,Traffic
Garbage not collected in Shivajinagar,Waste
Dirty drainage near Kothrud,Drainage
Road blocked due to traffic in Shivajinagar,Traffic
Rainwater accumulation in Hadapsar,Flooding
Heavy traffic near Pimpri,Traffic
Traffic signal not working at Hadapsar,Traffic
Flooding reported in Aundh,Flooding
Area submerged in Hinjewadi,Flooding
Drain blocked near Pimpri,Drainage
Drain blocked near Shivajinagar,Drainage
No drinking water in FC Road,Water
Road blocked due to traffic in Hadapsar,Traffic
Garbage overflowing near Hinjewadi,Waste
Water overflowing near FC Road,Water
Flood near FC Road,Flooding
Loose electric wire in Kothrud,Electricity
Streetlight not working in Shivajinagar,Electricity
Garbage not collected in FC Road,Waste
Uneven road surface near Aundh,Road
Waterlogging due to blocked drain in Shivajinagar,Drainage
Road damaged near Pimpri,Road
Waste dumped outside Aundh,Waste
Traffic jam near Shivajinagar,Traffic
Electric pole damaged in Hinjewadi,Electricity
Water supply issue in Shivajinagar,Water
Large pothole on Baner,Road
Waterlogging due to blocked drain in Pimpri,Drainage
Drain blocked near Wakad,Drainage
Electric pole damaged in Shivajinagar,Electricity
Broken road in Shivajinagar,Road
Frequent power cuts in Shivajinagar,Electricity
Broken road in Wakad,Road
Road blocked due to traffic in Shivajinagar,Traffic
Large pothole on Baner,Road
Flooding reported in Hinjewadi,Flooding
Dustbin overflowing in Hadapsar,Waste
Power outage near Camp,Electricity
Electric pole damaged in Kothrud,Electricity
Water leakage near Hadapsar,Water
Electric pole damaged in Pimpri,Electricity
Area submerged in Camp,Flooding
Power outage near Hadapsar,Electricity
Vehicle congestion in Pimpri,Traffic
Road damaged near Aundh,Road
No drinking water in Shivajinagar,Water
Garbage not collected in Shivajinagar,Waste
Electric pole damaged in Camp,Electricity
Drain blocked near Shivajinagar,Drainage
Uneven road surface near Camp,Road
Water overflowing near Wakad,Water
Waterlogging after rain in Hadapsar,Flooding
Area submerged in Camp,Flooding
Garbage not collected in Shivajinagar,Waste
Loose electric wire in Baner,Electricity
Garbage not collected in Hinjewadi,Waste
Pipeline burst in Aundh,Water
No drinking water in Aundh,Water
Frequent power cuts in Hinjewadi,Electricity
Traffic jam near Wakad,Traffic
Large pothole on Aundh,Road
Area submerged in Baner,Flooding
Drain blocked near Camp,Drainage
No drinking water in Hinjewadi,Water
Traffic signal not working at Kothrud,Traffic
Waste dumped outside Shivajinagar,Waste
Large pothole on Hadapsar,Road
Sewage overflow in Hadapsar,Drainage
Loose electric wire in Kothrud,Electricity
Huge garbage pile near FC Road,Waste
Garbage overflowing near Pimpri,Waste
Uneven road surface near Wakad,Road
Garbage not collected in Hinjewadi,Waste
Heavy traffic near Pimpri,Traffic
Broken road in Pimpri,Road
Water overflowing near Pimpri,Water
Water supply issue in Pimpri,Water
Heavy traffic near Pimpri,Traffic
Area submerged in Shivajinagar,Flooding
Heavy traffic near Hinjewadi,Traffic
Vehicle congestion in FC Road,Traffic
Water leakage near Kothrud,Water
Waste dumped outside Hadapsar,Waste
Water overflowing near Baner,Water
Water overflowing near Hadapsar,Water
Road damaged near Baner,Road
Heavy traffic near Baner,Traffic
Large pothole on Hadapsar,Road
Power outage near Hadapsar,Electricity
Vehicle congestion in Pimpri,Traffic
Water supply issue in Hinjewadi,Water
Sewage overflow in Kothrud,Drainage
Electric pole damaged in Shivajinagar,Electricity
Dustbin overflowing in Camp,Waste
Loose electric wire in Pimpri,Electricity
Road blocked due to traffic in Baner,Traffic
Streetlight not working in Wakad,Electricity
Broken road in Wakad,Road
Garbage not collected in Pimpri,Waste
Waterlogging after rain in Pimpri,Flooding
Waste dumped outside Pimpri,Waste
Electric pole damaged in Baner,Electricity
Garbage overflowing near Pimpri,Waste
Broken road in Hinjewadi,Road
Power outage near Camp,Electricity
Huge garbage pile near Camp,Waste
Frequent power cuts in Camp,Electricity
Drainage issue at Hinjewadi,Drainage
Dustbin overflowing in Camp,Waste
Heavy traffic near FC Road,Traffic
Flooding reported in FC Road,Flooding
Dirty drainage near Pimpri,Drainage
Heavy traffic near Camp,Traffic
Dustbin overflowing in Shivajinagar,Waste
Frequent power cuts in Wakad,Electricity
Frequent power cuts in Hadapsar,Electricity
Dirty drainage near Aundh,Drainage
Area submerged in Aundh,Flooding
Flood near FC Road,Flooding
Loose electric wire in Hadapsar,Electricity
Dirty drainage near Hinjewadi,Drainage
Road damaged near Wakad,Road
Loose electric wire in Pimpri,Electricity
Drainage issue at Aundh,Drainage
Broken road in Pimpri,Road
Electric pole damaged in Pimpri,Electricity
No drinking water in Hadapsar,Water
Drain blocked near Kothrud,Drainage
Electric pole damaged in Wakad,Electricity
Waterlogging due to blocked drain in Aundh,Drainage
Garbage overflowing near Hadapsar,Waste
Waterlogging due to blocked drain in Hinjewadi,Drainage
Flooding reported in Kothrud,Flooding
Water overflowing near Aundh,Water
Area submerged in Hadapsar,Flooding
Streetlight not working in Aundh,Electricity
Heavy traffic near Kothrud,Traffic
Flood near Hadapsar,Flooding
Waterlogging after rain in Wakad,Flooding
Dustbin overflowing in Wakad,Waste
Dustbin overflowing in Pimpri,Waste
Loose electric wire in Baner,Electricity
Water leakage near Hadapsar,Water
Huge garbage pile near Pimpri,Waste
Cracked road at Hadapsar,Road
Dirty drainage near Kothrud,Drainage
Waterlogging due to blocked drain in Kothrud,Drainage
Broken road in Baner,Road
Drainage issue at Shivajinagar,Drainage
Traffic signal not working at Kothrud,Traffic
Flood near Wakad,Flooding
Rainwater accumulation in FC Road,Flooding
Power outage near FC Road,Electricity
Dirty drainage near Hadapsar,Drainage
Waste dumped outside FC Road,Waste
Road damaged near Hadapsar,Road
Uneven road surface near Pimpri,Road
Streetlight not working in FC Road,Electricity
Traffic signal not working at Kothrud,Traffic
Waste dumped outside Hadapsar,Waste
Electric pole damaged in Wakad,Electricity
Rainwater accumulation in Camp,Flooding
Drainage issue at Wakad,Drainage
Garbage not collected in Pimpri,Waste
Garbage not collected in Camp,Waste
Water overflowing near Pimpri,Water
Road damaged near Aundh,Road
Road damaged near Hadapsar,Road
Traffic signal not working at Wakad,Traffic
Cracked road at Camp,Road
Pipeline burst in Aundh,Water
Dustbin overflowing in Kothrud,Waste
Uneven road surface near Shivajinagar,Road
Flooding reported in Hinjewadi,Flooding
Broken road in Kothrud,Road
Waterlogging due to blocked drain in Shivajinagar,Drainage
Traffic jam near Camp,Traffic
Water overflowing near Hadapsar,Water
Garbage not collected in Pimpri,Waste
Traffic jam near Kothrud,Traffic
Traffic signal not working at Aundh,Traffic
Huge garbage pile near Camp,Waste
Frequent power cuts in Hadapsar,Electricity
Streetlight not working in FC Road,Electricity
Waterlogging due to blocked drain in Pimpri,Drainage
Rainwater accumulation in Baner,Flooding
Traffic jam near Aundh,Traffic
No drinking water in Wakad,Water
Flooding reported in Kothrud,Flooding
No drinking water in Aundh,Water
Water leakage near Hadapsar,Water
Drainage issue at Kothrud,Drainage
Road blocked due to traffic in Baner,Traffic
No drinking water in FC Road,Water
Frequent power cuts in Kothrud,Electricity
Heavy traffic near Kothrud,Traffic
Frequent power cuts in FC Road,Electricity
Traffic jam near Wakad,Traffic
Streetlight not working in Hadapsar,Electricity
Flood near Shivajinagar,Flooding
Large pothole on Camp,Road
Waterlogging due to blocked drain in Pimpri,Drainage
Dustbin overflowing in Shivajinagar,Waste
Area submerged in Hadapsar,Flooding
Water overflowing near Shivajinagar,Water
Water overflowing near Kothrud,Water
Traffic signal not working at Wakad,Traffic
Waterlogging after rain in Hinjewadi,Flooding
Flood near Aundh,Flooding
Garbage not collected in Camp,Waste
Traffic signal not working at Wakad,Traffic
Waterlogging due to blocked drain in Kothrud,Drainage
Cracked road at Camp,Road
Traffic signal not working at Hinjewadi,Traffic
Road damaged near Shivajinagar,Road
Traffic jam near Camp,Traffic
Garbage not collected in Kothrud,Waste
Huge garbage pile near Hinjewadi,Waste
Traffic jam near Hadapsar,Traffic
Flooding reported in Kothrud,Flooding
Flooding reported in Shivajinagar,Flooding
Electric pole damaged in Baner,Electricity
Water leakage near Wakad,Water
Streetlight not working in Kothrud,Electricity
Drain blocked near Hadapsar,Drainage
Power outage near FC Road,Electricity
Loose electric wire in Shivajinagar,Electricity
Garbage overflowing near Hinjewadi,Waste
Loose electric wire in Hinjewadi,Electricity
Cracked road at Kothrud,Road
Water supply issue in Camp,Water
Flooding reported in Camp,Flooding
Waste dumped outside Pimpri,Waste
Pipeline burst in Wakad,Water
Frequent power cuts in Pimpri,Electricity
Loose electric wire in Aundh,Electricity
Road damaged near FC Road,Road
Water leakage near Pimpri,Water
Large pothole on Shivajinagar,Road
Electric pole damaged in Baner,Electricity
Area submerged in Camp,Flooding
Sewage overflow in Camp,Drainage
Cracked road at Hinjewadi,Road
Traffic signal not working at Wakad,Traffic
Pipeline burst in Camp,Water
Broken road in Aundh,Road
Traffic jam near Pimpri,Traffic
Electric pole damaged in Hadapsar,Electricity
Road blocked due to traffic in Baner,Traffic
Waterlogging after rain in Pimpri,Flooding
Electric pole damaged in Camp,Electricity
Rainwater accumulation in Baner,Flooding
Huge garbage pile near Hadapsar,Waste
Large pothole on Aundh,Road
Waterlogging after rain in Wakad,Flooding
Drain blocked near Pimpri,Drainage
Frequent power cuts in Shivajinagar,Electricity
Vehicle congestion in Hinjewadi,Traffic
Cracked road at Wakad,Road
Road damaged near Kothrud,Road
Pipeline burst in Wakad,Water
Vehicle congestion in Baner,Traffic
Heavy traffic near Camp,Traffic
Power outage near Wakad,Electricity
Garbage not collected in FC Road,Waste
Drainage issue at Aundh,Drainage
Waterlogging due to blocked drain in Aundh,Drainage
Traffic signal not working at FC Road,Traffic
Waterlogging after rain in Camp,Flooding
Waterlogging due to blocked drain in Hadapsar,Drainage
Area submerged in FC Road,Flooding
Road damaged near Pimpri,Road
Sewage overflow in FC Road,Drainage
Heavy traffic near FC Road,Traffic
Flood near Aundh,Flooding
Cracked road at Hadapsar,Road
Waste dumped outside Camp,Waste
Huge garbage pile near Camp,Waste
Drainage issue at Hadapsar,Drainage
Vehicle congestion in Kothrud,Traffic
No drinking water in Shivajinagar,Water
Drainage issue at Kothrud,Drainage
Road blocked due to traffic in Camp,Traffic
Dirty drainage near FC Road,Drainage
Cracked road at Hadapsar,Road
Road blocked due to traffic in Wakad,Traffic
Huge garbage pile near Camp,Waste
Loose electric wire in Hinjewadi,Electricity
Traffic jam near Hinjewadi,Traffic
Sewage overflow in Shivajinagar,Drainage
Water leakage near Aundh,Water
Road blocked due to traffic in Pimpri,Traffic
Waterlogging after rain in Shivajinagar,Flooding
Flooding reported in Hinjewadi,Flooding
Flood near Shivajinagar,Flooding
Traffic signal not working at FC Road,Traffic
Road damaged near FC Road,Road
Water overflowing near Pimpri,Water
Water supply issue in Baner,Water
Frequent power cuts in Hadapsar,Electricity
Flooding reported in Pimpri,Flooding
Waste dumped outside Aundh,Waste
Pipeline burst in Hinjewadi,Water
Waterlogging after rain in Hadapsar,Flooding
Water leakage near Camp,Water
Electric pole damaged in Aundh,Electricity
Drain blocked near Baner,Drainage
Drainage issue at Wakad,Drainage
Dustbin overflowing in Kothrud,Waste
Power outage near Aundh,Electricity
Garbage not collected in Camp,Waste
Broken road in Aundh,Road
Waterlogging after rain in Kothrud,Flooding
Flood near Camp,Flooding
Rainwater accumulation in Wakad,Flooding
Large pothole on Kothrud,Road
Waterlogging due to blocked drain in Hinjewadi,Drainage
Power outage near Camp,Electricity
Road damaged near Kothrud,Road
Traffic jam near Pimpri,Traffic
Power outage near Aundh,Electricity
No drinking water in Camp,Water
Sewage overflow in Kothrud,Drainage
Broken road in Camp,Road
Waste dumped outside Shivajinagar,Waste
Flooding reported in Shivajinagar,Flooding
Loose electric wire in FC Road,Electricity
Heavy traffic near Pimpri,Traffic
Garbage overflowing near Pimpri,Waste
Water supply issue in Kothrud,Water
Dirty drainage near Hinjewadi,Drainage
Flood near Pimpri,Flooding
Water leakage near Hadapsar,Water
Heavy traffic near Wakad,Traffic
Drain blocked near Camp,Drainage
Loose electric wire in Camp,Electricity
No drinking water in Shivajinagar,Water
Garbage not collected in Camp,Waste
Drainage issue at Shivajinagar,Drainage
Road damaged near Hadapsar,Road
Cracked road at Camp,Road
Drain blocked near Shivajinagar,Drainage
Dirty drainage near Pimpri,Drainage
Drainage issue at Camp,Drainage
Electric pole damaged in Camp,Electricity
Area submerged in Hinjewadi,Flooding
Frequent power cuts in FC Road,Electricity
Traffic signal not working at Aundh,Traffic
Electric pole damaged in Wakad,Electricity
Road damaged near FC Road,Road
Flooding reported in Camp,Flooding
Electric pole damaged in Shivajinagar,Electricity
Rainwater accumulation in Camp,Flooding
Water overflowing near Wakad,Water
Electric pole damaged in Hadapsar,Electricity
Frequent power cuts in Hadapsar,Electricity
Waterlogging due to blocked drain in Camp,Drainage
Loose electric wire in Aundh,Electricity
Drain blocked near Aundh,Drainage
Loose electric wire in Wakad,Electricity
Electric pole damaged in FC Road,Electricity
Power outage near Shivajinagar,Electricity
Water leakage near Kothrud,Water
Water overflowing near Wakad,Water
Drain blocked near Kothrud,Drainage
Dustbin overflowing in Pimpri,Waste
Large pothole on Aundh,Road
Pipeline burst in Camp,Water
Uneven road surface near Kothrud,Road
Broken road in Pimpri,Road
Garbage not collected in Wakad,Waste
Dustbin overflowing in FC Road,Waste
Waterlogging due to blocked drain in Kothrud,Drainage
Dirty drainage near Hinjewadi,Drainage
Pipeline burst in Pimpri,Water
Waste dumped outside Aundh,Waste
Broken road in Aundh,Road
Traffic jam near Pimpri,Traffic
Waste dumped outside Shivajinagar,Waste
Streetlight not working in Kothrud,Electricity
Water leakage near Pimpri,Water
Waste dumped outside Hadapsar,Waste
Waste dumped outside Hinjewadi,Waste
Road blocked due to traffic in FC Road,Traffic
Garbage not collected in Wakad,Waste
Road damaged near Pimpri,Road
Flooding reported in Hinjewadi,Flooding
Dustbin overflowing in FC Road,Waste
Drainage issue at Hadapsar,Drainage
Large pothole on Baner,Road
Vehicle congestion in Aundh,Traffic
Electric pole damaged in Hadapsar,Electricity
Waterlogging due to blocked drain in Baner,Drainage
Traffic signal not working at Kothrud,Traffic
Waterlogging after rain in Hinjewadi,Flooding
Sewage overflow in Pimpri,Drainage
Sewage overflow in Pimpri,Drainage
Waste dumped outside Kothrud,Waste
Uneven road surface near Baner,Road
Cracked road at Shivajinagar,Road
Water overflowing near Wakad,Water
Road damaged near Hadapsar,Road
Huge garbage pile near Hadapsar,Waste
Water supply issue in Aundh,Water
Pipeline burst in Hadapsar,Water
Waterlogging after rain in Hadapsar,Flooding
Dustbin overflowing in Aundh,Waste
Waterlogging due to blocked drain in Baner,Drainage
Cracked road at Aundh,Road
Area submerged in Kothrud,Flooding
Pipeline burst in FC Road,Water
Waterlogging due to blocked drain in Kothrud,Drainage
Traffic signal not working at Hadapsar,Traffic
Vehicle congestion in Hadapsar,Traffic
Garbage not collected in Aundh,Waste
Waterlogging after rain in FC Road,Flooding
Huge garbage pile near Hinjewadi,Waste
Water supply issue in Pimpri,Water
Waterlogging due to blocked drain in Wakad,Drainage
Pipeline burst in Pimpri,Water
Road blocked due to traffic in Pimpri,Traffic
Vehicle congestion in Shivajinagar,Traffic
Water leakage near Baner,Water
Garbage overflowing near Hinjewadi,Waste
Road damaged near Wakad,Road
Streetlight not working in Hinjewadi,Electricity
Water supply issue in Shivajinagar,Water
Traffic signal not working at Baner,Traffic
Heavy traffic near FC Road,Traffic
Road damaged near Camp,Road
Rainwater accumulation in Aundh,Flooding
Water leakage near Camp,Water
No drinking water in Camp,Water
Dustbin overflowing in Pimpri,Waste
Waterlogging after rain in Baner,Flooding
Drain blocked near Pimpri,Drainage
Uneven road surface near Pimpri,Road
Road damaged near Camp,Road
Water supply issue in Baner,Water
Cracked road at Aundh,Road
Vehicle congestion in Hinjewadi,Traffic
Garbage not collected in Wakad,Waste
Road damaged near Pimpri,Road
Dustbin overflowing in Hadapsar,Waste
Drainage issue at Baner,Drainage
Heavy traffic near Pimpri,Traffic
Water supply issue in Camp,Water
Flooding reported in Hadapsar,Flooding
Flooding reported in Aundh,Flooding
Road damaged near Pimpri,Road
Pipeline burst in Pimpri,Water
Flood near Aundh,Flooding
Dirty drainage near Shivajinagar,Drainage
Flooding reported in Baner,Flooding
Flood near Aundh,Flooding
Vehicle congestion in Shivajinagar,Traffic
Water leakage near Hinjewadi,Water
Road damaged near Shivajinagar,Road
Power outage near Wakad,Electricity
Drainage issue at Aundh,Drainage
Rainwater accumulation in Baner,Flooding
Traffic signal not working at Wakad,Traffic
Water leakage near FC Road,Water
Drain blocked near Shivajinagar,Drainage
Huge garbage pile near Shivajinagar,Waste
Heavy traffic near Camp,Traffic
Road blocked due to traffic in Kothrud,Traffic
Vehicle congestion in Shivajinagar,Traffic
Dirty drainage near Hadapsar,Drainage
Streetlight not working in Baner,Electricity
Vehicle congestion in Shivajinagar,Traffic
Pipeline burst in Hadapsar,Water
Water supply issue in FC Road,Water
Waste dumped outside Pimpri,Waste
Road blocked due to traffic in Hadapsar,Traffic
Water leakage near Shivajinagar,Water
Garbage overflowing near Hinjewadi,Waste
Waterlogging after rain in Camp,Flooding
Drainage issue at Pimpri,Drainage
Dustbin overflowing in Pimpri,Waste
Flood near Kothrud,Flooding
Area submerged in Baner,Flooding
Sewage overflow in Aundh,Drainage
Heavy traffic near Shivajinagar,Traffic
Electric pole damaged in Wakad,Electricity
Flooding reported in Hadapsar,Flooding
Vehicle congestion in Wakad,Traffic
Rainwater accumulation in Hinjewadi,Flooding
Power outage near Pimpri,Electricity
Drainage issue at Hadapsar,Drainage
Broken road in Pimpri,Road
Waste dumped outside Shivajinagar,Waste
Traffic signal not working at Baner,Traffic
Flooding reported in Shivajinagar,Flooding
Waterlogging after rain in Baner,Flooding
Cracked road at Kothrud,Road
Vehicle congestion in Baner,Traffic
Flooding reported in Hinjewadi,Flooding
Waterlogging after rain in Aundh,Flooding
Pipeline burst in Baner,Water
Traffic signal not working at Camp,Traffic
Waterlogging due to blocked drain in Wakad,Drainage
Traffic signal not working at Wakad,Traffic
Sewage overflow in Aundh,Drainage
Uneven road surface near Hinjewadi,Road
Broken road in Pimpri,Road
Dirty drainage near Hadapsar,Drainage
Traffic jam near Wakad,Traffic
Rainwater accumulation in FC Road,Flooding
Huge garbage pile near Wakad,Waste
Frequent power cuts in Wakad,Electricity
Traffic jam near Hinjewadi,Traffic
Cracked road at Kothrud,Road
Pipeline burst in Aundh,Water
Flood near FC Road,Flooding
Drain blocked near Hinjewadi,Drainage
Traffic jam near Pimpri,Traffic
Sewage overflow in Hadapsar,Drainage
Drainage issue at Hinjewadi,Drainage
Waste dumped outside Wakad,Waste
Loose electric wire in Shivajinagar,Electricity
Waterlogging after rain in Hadapsar,Flooding
Waterlogging due to blocked drain in Camp,Drainage
Waterlogging due to blocked drain in Wakad,Drainage
Large pothole on Hadapsar,Road
No drinking water in Pimpri,Water
Frequent power cuts in Aundh,Electricity
Traffic jam near Hinjewadi,Traffic
Waterlogging due to blocked drain in Kothrud,Drainage
Traffic jam near Kothrud,Traffic
Road damaged near FC Road,Road
Drainage issue at Aundh,Drainage
Flood near Hadapsar,Flooding
Water leakage near Aundh,Water
Loose electric wire in Aundh,Electricity
Water leakage near Hadapsar,Water
Cracked road at Aundh,Road
Drain blocked near Aundh,Drainage
Heavy traffic near Pimpri,Traffic
Dirty drainage near Hinjewadi,Drainage
Garbage overflowing near Shivajinagar,Waste
Road damaged near Hinjewadi,Road
Sewage overflow in Pimpri,Drainage
Loose electric wire in Hadapsar,Electricity
Garbage overflowing near Pimpri,Waste
Waterlogging due to blocked drain in Baner,Drainage
Dirty drainage near Hinjewadi,Drainage
Flooding reported in Camp,Flooding
Pipeline burst in Wakad,Water
No drinking water in Wakad,Water
Water leakage near FC Road,Water
Heavy traffic near Aundh,Traffic
Flooding reported in Pimpri,Flooding
Traffic jam near Shivajinagar,Traffic
Loose electric wire in Camp,Electricity
Garbage overflowing near Hadapsar,Waste
Frequent power cuts in Hadapsar,Electricity
Heavy traffic near Aundh,Traffic
Rainwater accumulation in FC Road,Flooding
Drain blocked near Kothrud,Drainage
Streetlight not working in Shivajinagar,Electricity
Road damaged near Wakad,Road
No drinking water in Aundh,Water
Huge garbage pile near Hadapsar,Waste
Broken road in Wakad,Road
Flood near Baner,Flooding
Road blocked due to traffic in Aundh,Traffic
Cracked road at Shivajinagar,Road
Streetlight not working in Camp,Electricity
