"complaint","category"
"Oversized vehicles carrying steel rods turning at Magarpatta narrow junction dangerously.","Traffic"
"Vehicles using emergency lane on Baner highway causing safety risk to ambulances.","Traffic"
"Road humps near Warje school not properly aligned causing motorcycles to lose balance.","Traffic"
"Morning rush at Bibwewadi chowk made worse by vendors setting up stalls on road edge.","Traffic"
"Bus bay near Balewadi terminal too small for fleet size causing spillover to main road.","Traffic"
"No traffic volunteer or police at Deccan school zone despite gazette notification.","Traffic"
"Construction material stored on Hinjewadi road by contractor blocking vehicle passage.","Traffic"
"Traffic signal at Bhosari not synchronised with adjacent signal causing accordion jams.","Traffic"
"Illegal hoardings at Dapodi junction reducing driver sightlines at intersection.","Traffic"
"Turning radius at Vishrantwadi corner too tight due to encroachment, accidents frequent.","Traffic"
"Vehicles running signal at FC Road due to non-functional red light sensor.","Traffic"
"Speed limit board absent on Yerawada school road allowing rash driving by motorists.","Traffic"
"Overloaded trucks frequently breaking down at Bavdhan flyover causing long jams.","Traffic"
"Road studs reflecting wrong direction at Katraj highway causing confusion to drivers.","Traffic"
"No safe pedestrian path from Chinchwad metro station to adjacent residential area.","Traffic"
"Heavy vehicle movement allowed on Kalyani Nagar bridge despite load restriction orders.","Traffic"
"Wrong lane merging at Pimpri signal causing fender-benders every second day.","Traffic"
"Delivery vans at JM Road tech park using footpath as driveway during rush hours.","Traffic"
"Traffic marshal post at Pashan junction unstaffed despite being a high-accident zone.","Traffic"
"Dangerous overtaking on Hadapsar ghat road due to absence of road safety features.","Traffic"
"Two-wheelers parking inside Nigdi footpath planters due to lack of parking spaces.","Traffic"
"Traffic signal battery backup at Kothrud failing causing intersection to go dark at night.","Traffic"
"App-based delivery riders running red lights at Kharadi junction multiple times daily.","Traffic"
"Construction crane operating at Sus Road blocking entire carriageway during peak hours.","Traffic"
"No speed enforcement at Wakad school zone despite multiple near-miss incidents.","Traffic"
"Vehicles making U-turn at Viman Nagar highway divider gap intended for emergency use only.","Traffic"
"Pothole in fast lane at Undri expressway causing emergency braking and chain accidents.","Traffic"
"Stop line markings worn off at Pune junction, encroachment into intersection by vehicles.","Traffic"
"Road widening land acquired at Koregaon Park but work not started for 2 years, residents confused.","Traffic"
"Signboard at Kondhwa highway toll junction obscured by tree branch reducing readability.","Traffic"
"Electric scooters parked randomly on Aundh footpaths blocking wheelchair access.","Traffic"
"Truck drivers resting in road lane near Bopodi highway fuel station during peak hours.","Traffic"
"Bollards at Swargate pedestrian zone removed overnight, vehicles flooding walking area.","Traffic"
"Traffic congestion near Shivajinagar school due to U-turn allowed immediately after junction.","Traffic"
"Heavy flooding near Kondhwa underpass making it impossible to commute during monsoon.","Flooding"
"Flood water entered ground floor residences at Katraj colony causing property damage.","Flooding"
"Low-lying area near Bopodi waterlogged for 3 days after moderate rainfall.","Flooding"
"Road at FC Road completely submerged under 2 feet of water during last night's rain.","Flooding"
"Flood diversion channel near Deccan blocked by debris, water backing into homes.","Flooding"
"Storm water not draining from Bhosari garden area for 48 hours after rain stopped.","Flooding"
"Bridge near Shivajinagar creek flooded making it impassable for vehicles and pedestrians.","Flooding"
"Flood alert board at Yerawada nullah outdated and incorrect, residents not warned.","Flooding"
"No flood early warning system at Bibwewadi low-lying area despite known flood risk.","Flooding"
"Basement of apartment at Viman Nagar flooded with sewage water during heavy downpour.","Flooding"
"Flood water from Dapodi drain breaching into public park submerging children's play area.","Flooding"
"Residential area at Pune submerged up to knee level after 2 hours of moderate rainfall.","Flooding"
"Flood-prone zone near Koregaon Park lacks proper embankment or bund to prevent inundation.","Flooding"
"Low point on Aundh highway filling up with 4 feet of water, vehicles getting stuck.","Flooding"
"Flood damage to boundary wall of Hinjewadi housing society not yet assessed after 5 days.","Flooding"
"Electrical substation at Kharadi near flood zone not elevated, risk of electrocution high.","Flooding"
"Flood rescue team arrived late at Wakad during last storm, residents had to self-evacuate.","Flooding"
"Area near Bavdhan creek experiencing annual flooding due to lack of stormwater infrastructure.","Flooding"
"Temporary flood barrier at Kalyani Nagar road collapse reported to BMC but no action for 2 days.","Flooding"
"School at Nigdi flooded every monsoon due to school compound being lower than road.","Flooding"
"Flood alert sirens at Sus Road dam downstream area not tested or operational this year.","Flooding"
"Water from flooded Pashan road entering houses through gaps under front doors.","Flooding"
"Overflowing creek near Warje housing project causing erosion of embankment daily.","Flooding"
"Flood water at Kothrud area contaminating open well causing gastro outbreak in locality.","Flooding"
"Children wading through chest-deep flood water near Undri school creating danger.","Flooding"
"Flooded subway at Pimpri causing major vehicular diversion adding 40 minutes to commute.","Flooding"
"Repeated flooding at Baner junction due to inadequate stormwater drain capacity.","Flooding"
"Crops near JM Road periphery damaged by flooding of farmland adjacent to city boundary.","Flooding"
"Hospital at Chinchwad flooded during monsoon compromising sterile environment and patient safety.","Flooding"
"Flood warning signs near Balewadi river diversion not visible due to vegetation overgrowth.","Flooding"
"Stormwater holding pond at Hadapsar overflowing due to lack of outlet maintenance.","Flooding"
"Residents of Vishrantwadi low-income housing trapped on terraces due to ground floor flooding.","Flooding"
"Flood water mixing with sewage at Swargate lane creating dangerous contamination risk.","Flooding"
"Flood insurance claims for Magarpatta residents not yet settled after previous year event.","Flooding"
"Mangrove area near Ambegaon peripheral zone being cleared reducing natural flood buffer.","Flooding"
"Encroachment on Kondhwa flood plain by builders increasing risk of inundation.","Flooding"
"No pre-monsoon desilting of drain near Katraj done despite written request from RWA.","Flooding"
"Water logging at Bopodi bus stand forcing commuters to wade through dirty water.","Flooding"
"Flood damage to municipal road at FC Road under repair not completed before monsoon.","Flooding"
"NDRF team stationed at Deccan flood area withdrew without completing rescue operation.","Flooding"
"Flash flood in Bhosari colony injuring 3 residents, no medical team sent for 2 hours.","Flooding"
"Vehicles abandoned in flood water near Shivajinagar bridge obstructing drainage channel.","Flooding"
"Street dogs displaced by flooding at Yerawada entering residences causing panic.","Flooding"
"Community relief camp for flood victims at Bibwewadi lack adequate clean drinking water.","Flooding"
"Flood damage mapping at Viman Nagar area not done by authorities for compensation purposes.","Flooding"
"No permanent solution implemented at Dapodi despite 5 consecutive years of flooding.","Flooding"
"Flooding near Pune area made worse by construction blocking natural water flow path.","Flooding"
"Storm drain at Koregaon Park overwhelmed even by 30mm rainfall, needs urgent upgrade.","Flooding"
"Power failure during flood at Aundh area caused by substation getting inundated.","Flooding"
"Flood victims at Hinjewadi reporting unhygienic conditions at temporary relief shelter.","Flooding"
"Retaining wall near Kharadi hill area washed away during last monsoon not rebuilt.","Flooding"
"Flash flood risk at Wakad due to clogged storm drain under main road not attended to.","Flooding"
"Flood relief material not reaching Bavdhan interior lanes due to poor distribution plan.","Flooding"
"Flood water entering Kalyani Nagar municipal school for 4th consecutive year with no solution.","Flooding"
"Breaching of boundary at Nigdi tank filling nearby roads and farms every year.","Flooding"
"Permanent pumping station promised for Sus Road low-lying area after last flood not installed.","Flooding"
"Flood maps for Pashan area never shared with residents despite RTI application filed.","Flooding"
"Slum area at Warje completely cut off after flooding with no rescue boat available.","Flooding"
"Road cave-in caused by flooding at Kothrud repaired with sand bags instead of proper fix.","Flooding"
"Heritage structure at Undri damaged by flood water seepage not attended by authority.","Flooding"
"Mobile towers at Pimpri affected by flood disrupting emergency communication network.","Flooding"
"Flood-affected farmers near Baner waiting for compensation for more than 3 months.","Flooding"
"Blocked culvert at JM Road road causing water to overflow onto main arterial road.","Flooding"
"Area near Chinchwad nullah flooding from both sides trapping residents between two water bodies.","Flooding"
"Government school at Balewadi used as flood relief camp but lacks proper sanitation facilities.","Flooding"
"Flood gates at Hadapsar reservoir not operated in time, downstream areas submerged.","Flooding"
"No demarcation of flood zone at Vishrantwadi as per hazard map, builders taking advantage.","Flooding"
"Water from flooded Swargate road entering electrical panels of buildings causing short circuits.","Flooding"
"Last year flood data at Magarpatta area not used to plan current year infrastructure work.","Flooding"
"Garbage collection staff in Balewadi area reporting to work late, bins not cleared till afternoon.","Waste"
"Water supply pressure at Kharadi insufficient to fill overhead tank even in 8-hour supply window.","Water"
"Residents of Bibwewadi area not informed about planned water supply interruption for valve work.","Water"
"Water pipe at FC Road road passing under sewage line without proper protection.","Water"
"Electricity department at Undri not issuing receipts for meter-related charges collected.","Electricity"
"Stormwater drain near Koregaon Park diverted by builder without proper sanction, causing overflow.","Drainage"
"Honking near Aundh hospital zone continues unchecked despite noise restriction board.","Traffic"
"Flood depth markers near Nigdi low-lying road missing making it dangerous to enter.","Flooding"
"Flood water at Bopodi not receding due to non-functional pump at stormwater station.","Flooding"
"No rehabilitation plan in place for flood-prone Kondhwa locality despite annual damage.","Flooding"
"Sandbag deployment at Wakad flood-risk zone delayed by 2 days in monsoon preparedness.","Flooding"
"Residents near Vishrantwadi creek not included in flood early warning SMS alert list.","Flooding"
"Floodwater near Wakad area attracting snakes and insects, health risk rising.","Flooding"
"Flood evacuation drill at Chinchwad ward never conducted despite being listed as flood zone.","Flooding"
"Inundation of Kalyani Nagar sports ground preventing community from using it during monsoon.","Flooding"
"Makeshift bridge over flooded Kharadi nullah built by residents, no official support.","Flooding"
"Flood-prone lane near Bopodi not included in pre-monsoon preparedness plan this year.","Flooding"
"Residents near Deccan area recording flood incidents annually but no infrastructure upgrade done.","Flooding"
